speedup,baseline_time,verification_time
1.0211,10.7832,10.5600
1.0533,15.8693,15.0657
1.0262,15.8693,15.4637
1.8191,46.0487,25.3140
1.1885,46.0487,38.7465
1.0336,10.6859,10.3381
4.3881,54.5298,12.4268
3.9838,54.5298,13.6879
1.1375,11.5297,10.1356
1.1514,14.0306,12.1857
1.0612,11.8302,11.1482
1.0772,15.1890,14.1003
1.0599,15.1890,14.3312
1.1238,13.2856,11.8225
1.0803,13.2856,12.2983
1.0018,11.5838,11.5633
1.2230,17.5279,14.3314
1.1244,17.5279,15.5879
1.0945,17.5279,16.0142
1.0735,17.5279,16.3277
1.1371,13.6114,11.9698
1.0915,12.7576,11.6885
1.0725,12.7576,11.8951
1.0928,11.5941,10.6095
1.3192,14.4130,10.9257
1.1753,11.8705,10.1002
1.1177,20.9792,18.7697
1.0958,20.9792,19.1457
1.2818,14.2779,11.1390
1.0203,12.4055,12.1584
1.0118,12.4055,12.2602
1.0881,14.5062,13.3320
1.0050,14.5062,14.4338
1.6585,25.6378,15.4580
1.0563,12.2528,11.6003
1.0991,12.2528,11.1484
4.9092,159.4017,32.4698
1.0454,13.4198,12.8374
1.0048,12.8759,12.8140
1.3265,25.4307,19.1715
1.0245,17.7226,17.2994
1.2685,174.2824,137.3909
1.1797,13.9849,11.8543
1.1612,13.9849,12.0433
7.1288,235.5067,33.0359
6.5838,235.5067,35.7704
5.3367,235.5067,44.1294
1.1117,15.8116,14.2227
1.0029,15.8116,15.7658
1.2842,15.8116,12.3125
1.2036,15.8116,13.1374
1.1392,15.0587,13.2184
1.1379,15.0587,13.2339
1.2199,12.3225,10.1015
1.2993,23.9460,18.4304
1.1549,23.9460,20.7335
1.1053,13.8695,12.5487
1.1146,14.4754,12.9872
1.0369,14.4754,13.9602
1.1602,12.4967,10.7713
1.1253,11.2153,9.9664
1.1185,12.3628,11.0532
1.0241,12.0226,11.7394
1.0775,12.8637,11.9382
1.0214,12.8637,12.5947
1.0065,13.0283,12.9441
1.2487,16.4632,13.1847
